IATA,ICAO,Name,Country,City,UTC,Latitude,Longitude
VOK,KVOK,Volk Field,United States of America,Camp Douglas,,,
VOL,LGBL,Nea Anchialos National Airport,Greece,Nea Anchialos,,,
VOT,SDVG,Domingos Pignatari Airport,Brazil,Votuporanga,,,
VOZ,UUOO,Voronezh International Airport,Russia,Voronezh,,,
VPE,FNGI,Ngjiva Pereira Airport,Angola,Ngiva,,,
VPG,,Vipingo Estate Airport,Kenya,Kikambala,,,
VPN,BIVO,Vopnafjörður Airport,Iceland,Vopnafjörður,,,
VPS,KVPS,Destin-Fort Walton Beach Airport,United States of America,Valparaiso,,,
VPY,FQCH,Chimoio Airport,Mozambique,Chimoio,,,
VPZ,KVPZ,Porter County Municipal Airport,United States of America,Valparaiso,,,
VQQ,KVQQ,Cecil Airport,United States of America,Jacksonville,,,
VQS,TJVQ,Antonio Rivera Rodriguez Airport,Puerto Rico,Vieques,,,
VRA,MUVR,Juan Gualberto Gomez International Airport,Cuba,Matanzas,,,
VRB,KVRB,Vero Beach Regional Airport,United States of America,Vero Beach,,,
VRC,RPUV,Virac Airport,Philippines,Virac,,,
VRE,FAVR,Vredendal Airport,South Africa,Vredendal,,,
VRI,ULDW,Varandey Airport,Russia,Varandey,,,
VRK,EFVR,Varkaus Airport,Finland,Varkaus / Joroinen,,,
VRL,LPVR,Vila Real Airport,Portugal,Vila Real,,,
VRN,LIPX,Verona Villafranca Valerio Catullo Airport,Italy,Caselle (VR),,,
VRO,MUKW,Kawama Airport,Cuba,Santa Marta,,,
VRS,,Roy Otten Memorial Airfield,United States of America,Versailles,,,
VRU,FAVB,Vryburg Airport,South Africa,Vyrburg,,,
VSA,MMVA,Carlos Rovirosa Pérez International Airport,Mexico,Villahermosa,,,
VSE,LPVZ,Aerodromo Goncalves Lobato (Viseu Airport),Portugal,Viseu,,,
VSF,KVSF,Hartness State Airport,United States of America,North Springfield,,,
VST,ESOW,Stockholm Västerås Airport,Sweden,Stockholm / Västerås,,,
VSV,VISV,Shravasti Airport,India,Shravasti,,,
VTB,UMII,Vitebsk Vostochny Airport,Belarus,Vitebsk,,,
VTE,VLVT,Wattay International Airport,Laos,Vientiane,,,
VTF,NFVL,Vatulele Airport,Fiji,Vatulele,,,
VTG,VVVT,Vung Tau Airport,Vietnam,Vũng Tàu,,,
VTN,KVTN,Miller Field,United States of America,Valentine,,,
VTU,MUVT,Hermanos Ameijeiras Airport,Cuba,Las Tunas,,,
VTZ,VEVZ,Visakhapatnam International Airport,India,Visakhapatnam,,,
VUP,SKVP,Alfonso López Pumarejo Airport,Colombia,Valledupar,,,
VUS,ULWU,Velikiy Ustyug Airport,Russia,Velikiy Ustyug,,,
VUU,,Mvuu Camp Airport,Malawi,Liwonde National Park,,,
VVB,FMMH,Mahanoro Airport,Madagascar,Mahanoro,,,
VVC,SKVV,Vanguardia Airport,Colombia,Villavicencio,,,
VVI,SLVR,Viru Viru International Airport,Bolivia,Santa Cruz,,,
VVK,ESSW,Västervik Airport,Sweden,Västervik,,,
VVN,,Las Malvinas/Echarate Airport,Peru,Las Malvinas,,,
VVO,UHWW,Vladivostok International Airport,Russia,Artyom,,,
VVZ,DAAP,Illizi Takhamalt Airport,Algeria,Illizi,,,
VXC,FQLC,Lichinga Airport,Mozambique,Lichinga,,,
VXE,GVSV,Cesaria Evora International Airport,Cape Verde,São Pedro,,,
VXO,ESMX,Växjö Kronoberg Airport,Sweden,Växjö,,,
VYD,FAVY,Vryheid Airport,South Africa,Vryheid,,,
VYI,UENW,Vilyuisk Airport,Russia,Vilyuisk,,,
VYS,KVYS,Illinois Valley Regional Airport Walter A Duncan Field,United States of America,Peru,,,
WAA,PAIW,Wales Airport,United States of America,Wales,,,
WAD,,Andriamena Airport,Madagascar,Andriamena,,,
WAE,OEWD,Wadi Al Dawasir Domestic Airport,Saudi Arabia,Wadi Al Dawasir,,,
WAF,OPWN,Wana Airport,Pakistan,Waana,,,
WAG,NZWU,Wanganui Airport,New Zealand,Wanganui,,,
WAH,KBWP,Harry Stern Airport,United States of America,Wahpeton,,,
WAI,FMNW,Ambalabe Airport,Madagascar,Antsohihy,,,
WAJ,AYWF,Wawoi Falls Airport,Papua New Guinea,Wavoi Falls,,,
WAK,FMSZ,Ankazoabo Airport,Madagascar,Ankazoabo,,,
WAL,KWAL,Wallops Flight Facility Airport,United States of America,Wallops Island,,,
WAM,FMMZ,Ambatondrazaka Airport,Madagascar,Ambatondrazaka,,,
WAN,,Waverney Airport,Australia,Waverney,,,
WAO,AYWB,Wabo Airport,Papua New Guinea,Wabo,,,
WAP,SCAP,Alto Palena Airport,Chile,Palena,,,
WAQ,FMMG,Antsalova Airport,Madagascar,Antsalova,,,
WAT,EIWF,Waterford Airport,Ireland,Waterford,,,
WAV,YWAV,Wave Hill Airport,Australia,,,,
WAW,EPWA,Warsaw Chopin Airport,Poland,Warsaw,,,
WAX,HLZW,Zuwarah International Airport,Libya,Zuwarah,,,
WAY,KWAY,Greene County Airport,United States of America,Waynesburg,,,
WAZ,YWCK,Warwick Airport,Australia,,,,
WBA,WAPV,Wahai Airport,Indonesia,Wahai,,,
WBB,,Stebbins Airport,United States of America,Stebbins,,,
WBC,,Wapolu Airport,Papua New Guinea,Wapolu,,,
WBD,FMNF,Avaratra Airport,Madagascar,Befandriana,,,
WBM,AYWD,Wapenamanda Airport,Papua New Guinea,Wapenamanda,,,
WBO,FMSB,Antsoa Airport,Madagascar,Beroroha,,,
WBQ,PAWB,Beaver Airport,United States of America,Beaver,,,
WBR,KRQB,Roben Hood Airport,United States of America,Big Rapids,,,
WBU,KBDU,Boulder Municipal Airport,United States of America,Boulder,,,
WBW,KWBW,Wilkes Barre Wyoming Valley Airport,United States of America,Wilkes-Barre,,,
WCA,SCST,Gamboa Airport,Chile,Castro,,,
WCH,SCTN,Nuevo Chaitén Airport,Chile,Chaitén,,,
WCR,PALR,Chandalar Lake Airport,United States of America,Chandalar Lake,,,
WDG,KWDG,Enid Woodring Regional Airport,United States of America,Enid,,,
WDH,FYWH,Hosea Kutako International Airport,Namibia,Windhoek,,,
WDI,YWND,Wondai Airport,Australia,,,,
WDN,,Waldron Airstrip,United States of America,Eastsound,,,
WDR,KWDR,Barrow County Airport,United States of America,Winder,,,
WDS,ZHSY,Shiyan Wudangshan Airport,China,Shiyan (Maojian),,,
WEA,,Parker County Airport,United States of America,Weatherford,,,
WED,,Wedau Airport,Papua New Guinea,Wedau,,,
WEF,ZSWF,Weifang Nanyuan Airport,China,Weifang (Kuiwen),,,
WEH,ZSWH,Weihai Dashuibo Airport,China,Weihai,,,
WEI,YBWP,Weipa Airport,Australia,Weipa,,,
WEP,AYXW,Weam Airport,Papua New Guinea,Weam,,,
WET,WABG,Deiyai / Waghete Baru Airport,Indonesia,Tigi,,,
WEW,YWWA,Wee Waa Airport,Australia,,,,
WFI,FMSF,Fianarantsoa Airport,Madagascar,Fianarantsoa,,,
WFK,KFVE,Northern Aroostook Regional Airport,United States of America,Frenchville,,,
WFR,,Wolf's Fang Runway,Antarctica,,,,
WGA,YSWG,Wagga Wagga Airport,Australia,Forest Hill,,,
WGB,OPBR,Bahawalnagar Airport,Pakistan,Bahawalnagar,,,
WGC,VOWA,Warangal Airport,India,Warangal,,,
WGE,YWLG,Walgett Airport,Australia,,,,
WGN,ZGSY,Shaoyang Wugang Airport,China,Shaoyang (Wugang),,,
WGO,KOKV,Winchester Regional Airport,United States of America,Winchester,,,
WGP,WADW,Umbu Mehang Kunda Airport,Indonesia,Waingapu-Sumba Island,,,
WGT,YWGT,Wangaratta Airport,Australia,Laceby,,,
WHA,ZSWA,Wuhu Xuanzhou Airport,China,Wuhu,,,
WHB,YEWA,Eliwana,Australia,,,,
WHF,HSSW,Wadi Halfa Airport,Sudan,Wadi Halfa,,,
WHK,NZWK,Whakatāne Airport,New Zealand,Whakatāne,,,
WHL,,Welshpool Airport,Australia,Welshpool,,,
WHN,,Wuhan Hannan Municipal Airport,China,Wuhan (Hannan),,,
WHO,NZFJ,Franz Josef Aerodrome,New Zealand,,,,
WHP,KWHP,Whiteman Airport,United States of America,Pacoima,,,
WHS,EGEH,Whalsay Airstrip,United Kingdom,"Whalsay, Shetlands",,,
WHT,KARM,Wharton Regional Airport,United States of America,Wharton,,,
WHU,ZSWU,Wuhu Wanli Airport / Wuhu Air Base,China,Wuhu,,,
WIB,,Wilbarger County Airport,United States of America,Vernon,,,
WIC,EGPC,Wick John O'Groats Airport,United Kingdom,Wick,,,
WIE,ETOU,Wiesbaden Army Airfield,Germany,Wiesbaden,,,
WIK,NZKE,Waiheke Island Aerodrome,New Zealand,Waiheke Island,,,
WIL,HKNW,Nairobi Wilson Airport,Kenya,Nairobi,,,
WIN,YWTN,Winton Airport,Australia,,,,
WIO,YWCA,Wilcannia Airport,Australia,,,,
WIR,NZWO,Wairoa Airport,New Zealand,Wairoa,,,
WIT,YWIT,Wittenoom Airport,Australia,,,,
WIU,AYIX,Witu Airport,Papua New Guinea,Garove Island,,,
WJA,,Woja Airport,Marshall Islands,Woja,,,
WJF,KWJF,General William J Fox Airfield,United States of America,Lancaster,,,
WJR,HKWJ,Wajir Airport,Kenya,Wajir,,,
WJU,RKNW,Wonju Airport / Hoengseong Air Base (K-38/K-46),South Korea,Wonju,,,
WKA,NZWF,Wanaka Airport,New Zealand,Wanaka,,,
WKB,YWKB,Warracknabeal Airport,Australia,,,,
WKF,FAWK,Waterkloof Air Force Base,South Africa,Pretoria,,,
WKI,FVWT,Hwange (Town) Airport,Zimbabwe,Hwange,,,
WKJ,RJCW,Wakkanai Airport,Japan,Wakkanai,,,
WKK,,Aleknagik / New Airport,United States of America,Aleknagik,,,
WKN,AYWQ,Wakunai Airport,Papua New Guinea,Wakunai,,,
WKR,MYAW,Walkers Cay Airport,Bahamas,Walkers Cay,,,
WLA,YWAL,Wallal Downs Airport,Australia,Eighty Mile Beach,,,
WLC,YWCH,Walcha Airport,Australia,,,,
WLD,KWLD,Strother Field,United States of America,Winfield / Arkansas City,,,
WLE,YMLS,Miles Airport,Australia,,,,
WLG,NZWN,Wellington International Airport,New Zealand,Wellington,,,
WLH,NVSW,Walaha Airport,Vanuatu,Walaha,,,
WLK,PASK,Selawik Airport,United States of America,Selawik,,,
WLL,YWOR,Wollogorang Airport,Australia,,,,
WLO,YWTL,Waterloo Airport,Australia,,,,
WLP,YANG,West Angelas Airport,Australia,,,,
WLS,NLWW,Hihifo Airport,Wallis and Futuna,Wallis Island,,,
WLW,KWLW,Willows Glenn County Airport,United States of America,Willows,,,
WMA,FMNX,Mandritsara Airport,Madagascar,Mandritsara,,,
WMB,YWBL,Warrnambool Airport,Australia,,,,
WMC,KWMC,Winnemucca Municipal Airport,United States of America,Winnemucca,,,
WMD,FMSC,Mandabe Airport,Madagascar,Mandabe,,,
WME,YMNE,Mount Keith Airport,Australia,,,,
WMH,KBPK,Ozark Regional Airport,United States of America,Mountain Home,,,
WMI,EPMO,Warsaw Modlin Airport,Poland,Nowy Dwór Mazowiecki,,,
WML,FMMC,Malaimbandy Airport,Madagascar,Malaimbandy,,,
WMN,FMNR,Maroantsetra Airport,Madagascar,Maroantsetra,,,
WMO,PAWM,White Mountain Airport,United States of America,White Mountain,,,
WMP,FMNP,Mampikony Airport,Madagascar,Mampikony,,,
WMR,FMNC,Mananara Nord Airport,Madagascar,Mananara Nord,,,
WMT,ZUMT,Zunyi Maotai Airport,China,Zunyi,,,
WMX,WAVV,Wamena Airport,Indonesia,Wamena,,,
WNA,PANA,Napakiak Airport,United States of America,Napakiak,,,
WND,YWDA,Windarra Airport,Australia,Laverton,,,
WNH,ZPWS,Wenshan Puzhehei Airport,China,Wenshan,,,
WNI,WAWD,Matahora Airport,Indonesia,Wangi-wangi Island,,,
WNN,,Wunnumin Lake Airport,Canada,Wunnumin Lake,,,
WNP,RPUN,Naga Airport,Philippines,Naga,,,
WNR,YWDH,Windorah Airport,Australia,Windorah,,,
WNS,OPNH,Shaheed Benazirabad Airport,Pakistan,Nawabashah,,,
WNU,,Wanuma Airport,Papua New Guinea,Wanuma,,,
WNZ,ZSWZ,Wenzhou Longwan International Airport,China,Wenzhou (Longwan),,,
WOA,AYWO,Wonenara Airport,Papua New Guinea,Wonenara,,,
WOK,,Wonken Airport,Venezuela,Wonken,,,
WOL,YSHL,Shellharbour Airport,Australia,Albion Park Rail,,,
WON,YWDL,Wondoola Airport,Australia,Wondoola,,,
WOS,ZKWS,Wonsan Kalma Airport,North Korea,Wonsan,,,
WOT,RCWA,Wang'an Airport,Taiwan,Wang'an,,,
WOW,PAUO,Willow Airport,United States of America,Willow,,,
WPA,SCAS,Cabo Juan Román Airfield,Chile,Puerto Aysén,,,
WPB,FMNG,Port Bergé Airport,Madagascar,Port Bergé,,,
WPC,CZPC,Pincher Creek Airport,Canada,Pincher Creek,,,
WPK,YWMP,Wrotham Park Airport,Australia,Wrotham Park,,,
WPM,,Wipim Airport,Papua New Guinea,Wipim,,,
WPO,,North Fork Valley Airport,United States of America,Paonia,,,
WPR,SCFM,Captain Fuentes Martinez Airport,Chile,Porvenir,,,
WPU,SCGZ,Guardia Marina Zañartu Airport,Chile,Puerto Williams,,,
WRA,HAWR,Warder Airport,Ethiopia,Warder,,,
WRB,KWRB,Robins Air Force Base,United States of America,Warner Robins,,,
WRE,NZWR,Whangarei Airport,New Zealand,Whangarei,,,
WRG,PAWG,Wrangell Airport,United States of America,Wrangell,,,
WRI,KWRI,Mc Guire Air Force Base,United States of America,Wrightstown,,,
WRL,KWRL,Worland Municipal Airport,United States of America,Worland,,,
WRN,YWDG,Windarling Airport,Australia,Windarling Mine,,,
WRO,EPWR,Copernicus Wrocław Airport,Poland,Wrocław,,,
WRT,EGNO,Warton Aerodrome,United Kingdom,Warton,,,
WRW,YWWG,Warrawagine Airport,Australia,,,,
WRY,EGEW,Westray Airport,United Kingdom,"Westray, Orkney Islands",,,
WRZ,VCCW,Weerawila Airport,Sri Lanka,Weerawila,,,
WSA,,Wasua Airport,Papua New Guinea,Wasua,,,
WSG,KAFJ,Washington County Airport,United States of America,Washington,,,
WSH,KHWV,Brookhaven Calabro Airport,United States of America,Shirley,,,
WSK,ZUWS,Chongqing Wushan Airport,China,Wushan,,,
WSM,,Wiseman Airport,United States of America,Wiseman,,,
WSN,PFWS,South Naknek Number 2 Airport,United States of America,South Naknek,,,
WSO,,Washabo Airport,Suriname,Washabo,,,
WSP,MNWP,Waspam Airport,Nicaragua,Waspam,,,
WSR,WASW,Wasior Airport,Indonesia,Wasior,,,
WST,KWST,Westerly State Airport,United States of America,Westerly,,,
WSU,AYWS,Wasu Airport,Papua New Guinea,Wasu,,,
WSY,YSHR,Shute Harbour/Whitsunday Airport,Australia,Shute Harbour,,,
WSZ,NZWS,Westport Airport,New Zealand,Westport,,,
WTA,FMMU,Tambohorano Airport,Madagascar,Tambohorano,,,
WTB,YBWW,Toowoomba Wellcamp Airport,Australia,Toowoomba,,,
WTD,MYGW,West End Airport,Bahamas,West End,,,
WTE,,Wotje Airport,Marshall Islands,Wotje,,,
WTK,PAWN,Noatak Airport,United States of America,Noatak,,,
WTL,,Tuntutuliak Airport,United States of America,Tuntutuliak,,,
WTN,EGXW,RAF Waddington,United Kingdom,"Lincoln, Lincolnshire",,,
WTO,,Wotho Island Airport,Marshall Islands,Wotho Island,,,
WTP,AYWT,Woitape Airport,Papua New Guinea,Fatima Mission,,,
WTR,,Whiteriver Airport,United States of America,Whiteriver,,,
WTS,FMMX,Tsiroanomandidy Airport,Madagascar,Tsiroanomandidy,,,
WTT,,Wantoat Airport,Papua New Guinea,Wantoat,,,
WTZ,NZWT,Whitianga Airport,New Zealand,Whitianga,,,
WUA,ZBUH,Wuhai Airport,China,Wuhai,,,
WUD,YWUD,Wudinna Airport,Australia,,,,
WUG,AYWU,Wau Airport,Papua New Guinea,Wau,,,
WUH,ZHHH,Wuhan Tianhe International Airport,China,Wuhan (Huangpi),,,
WUI,YMMI,Murrin Murrin Airport,Australia,Murrin Murrin,,,
WUM,AYZM,Wasum Airport,Papua New Guinea,Wasum,,,
WUN,YWLU,Wiluna Airport,Australia,,,,
WUS,ZSWY,Nanping Wuyishan Airport,China,Wuyishan,,,
WUT,ZBXZ,Xinzhou Wutaishan Airport,China,Xinzhou,,,
WUU,HSWW,Wau Airport,South Sudan,Wau,,,
WUV,,Wuvulu Island Airport,Papua New Guinea,Wuvulu Island,,,
WUX,ZSWX,Sunan Shuofang International Airport,China,Wuxi,,,
WUZ,ZGWZ,Wuzhou Xijiang Airport,China,Tangbu,,,
WVB,FYWB,Walvis Bay International Airport,Namibia,Walvis Bay(Rooikop),,,
WVI,KWVI,Watsonville Municipal Airport,United States of America,Watsonville,,,
WVK,FMSK,Manakara Airport,Madagascar,Manakara,,,
WVL,KWVL,Waterville Robert Lafleur Airport,United States of America,Waterville,,,
WVN,EDWI,JadeWeser Airport,Germany,Wilhelmshaven,,,
WWA,PAWS,Wasilla Airport,United States of America,Wasilla,,,
WWD,KWWD,Cape May County Airport,United States of America,Wildwood,,,
WWI,YWWI,Woodie Woodie Airport,Australia,Woodie Woodie,,,
WWK,AYWK,Wewak International Airport,Papua New Guinea,Wewak,,,
WWR,KWWR,West Woodward Airport,United States of America,Woodward,,,
WWT,PAEW,Mertarvik Airport,United States of America,Mertarvik,,,
WWY,YWWL,West Wyalong Airport,Australia,West Wyalong,,,
WXN,ZUWX,Wanzhou Wuqiao Airport,China,Wanzhou,,,
WYA,YWHA,Whyalla Airport,Australia,Whyalla,,,
WYE,GFYE,Yengema Airport,Sierra Leone,Yengema,,,
WYN,YWYM,Wyndham Airport,Australia,,,,
WYS,KWYS,Yellowstone Airport,United States of America,West Yellowstone,,,
WZQ,,Urad Middle Banner Airport,China,Urad Middle Banner,,,
XAB,LFOI,Abbeville-Buigny Baie de Somme Airfield,France,Buigny-Saint-Maclou,,,
XAI,ZHXY,Xinyang Minggang Airport,China,Xinyang,,,
XAL,,Álamos Airport,Mexico,Álamos,,,
XAP,SBCH,Serafin Enoss Bertaso Airport,Brazil,Chapecó,,,
XAR,DFOY,Aribinda Airport,Burkina Faso,Aribinda,,,
XAU,SOOS,Saül Airport,French Guiana,Saül,,,
XBE,,Bearskin Lake Airport,Canada,Bearskin Lake,,,
XBG,DFEB,Bogande Airport,Burkina Faso,Bogande,,,
XBJ,OIMB,Birjand International Airport,Iran,Birjand,,,
XBN,,Biniguni Airport,Papua New Guinea,Biniguni,,,
XBO,DFEA,Boulsa Airport,Burkina Faso,Boulsa,,,
XBR,,Brockville - Thousand Islands Regional Tackaberry Airport,Canada,Brockville,,,
XCH,YPXM,Christmas Island International Airport,Christmas Island,Flying Fish Cove,,,
XCL,,Cluff Lake Airport,Canada,Cluff Lake,,,
XCM,CYCK,Chatham Kent Airport,Canada,Chatham-Kent,,,
XCO,YOLA,Colac Airport,Australia,Colac Otway Shire,,,
XCR,LFOK,Chalons Vatry airport,France,Chalons en Champagne,,,
XCZ,LFQV,Charleville-Mézières Ardennes-Etienne Riché Airfield,France,Charleville-Mézières,,,
XDE,DFOU,Diebougou Airport,Burkina Faso,Diebougou,,,
XDJ,DFCJ,Djibo Airport,Burkina Faso,Djibo,,,
XES,,Grand Geneva Resort Airport,United States of America,Lake Geneva,,,
XFN,ZHXF,Xiangyang Liuji Airport,China,Xiangyang (Xiangzhou),,,
XFW,EDHI,Hamburg-Finkenwerder Airport,Germany,Hamburg,,,
XGA,DFOG,Gaoua Airport,Burkina Faso,Gaoua,,,
XGG,DFEG,Gorom-Gorom Airport,Burkina Faso,Gorom-Gorom,,,
XGN,FNXA,Xangongo Airport,Angola,Xangongo,,,
XGR,CYLU,Kangiqsualujjuaq (Georges River) Airport,Canada,Kangiqsualujjuaq,,,
XIC,ZUXC,Xichang Qingshan Airport,China,Liangshan (Xichang),,,
XIE,VLXL,Xienglom Airport,Laos,Xienglom,,,
XIG,,Xinguara Municipal Airport,Brazil,Xinguara,,,
XIL,ZBXH,Xilinhot Airport,China,Xilinhot,,,
XIY,ZLXY,Xi'an Xianyang International Airport,China,Xi'an,,,
XJM,OPMA,Mangla Airport,Pakistan,Mangla,,,
XKA,DFEL,Kantchari Airport,Burkina Faso,Kantchari,,,
XKH,VLXK,Xieng Khouang Airport,Laos,Xieng Khouang,,,
XKS,CYAQ,Kasabonika Airport,Canada,Kasabonika,,,
XKY,DFCA,Kaya Airport,Burkina Faso,Kaya,,,
XLB,CZWH,Lac Brochet Airport,Canada,Lac Brochet,,,
XLS,GOSS,Saint Louis Airport,Senegal,Saint Louis,,,
XLU,DFCL,Leo Airport,Burkina Faso,Leo,,,
XMA,,Maramag Airport,Philippines,Maramag,,,
XMC,YMCO,Mallacoota Airport,Australia,,,,
XMD,KMDS,Madison Municipal Airport,United States of America,Madison,,,
XME,LFQJ,Maubeuge-Élesmes Airfield,France,"Vieux-Reng, Nord",,,
XMG,VNMN,Mahendranagar Airport,Nepal,Mahendranagar,,,
XMH,NTGI,Manihi Airport,French Polynesia,,,,
XMI,HTMI,Masasi Airport,Tanzania,Masasi,,,
XML,YMIN,Minlaton Airport,Australia,,,,
XMN,ZSAM,Xiamen Gaoqi International Airport,China,Xiamen,,,
XMP,,Macmillan Pass Airport,Canada,Macmillan Pass,,,
XMS,SEMC,Coronel E Carvajal Airport,Ecuador,Macas,,,
XMW,LFDB,Aérodrome Morin - Védrines,France,Montauban,,,
XMY,YYMI,Yam Island Airport,Australia,Yam Island,,,
XNA,KXNA,Northwest Arkansas National Airport,United States of America,Fayetteville/Springdale/Rogers,,,
XNN,ZLXN,Xining Caojiabao International Airport,China,Haidong (Huzhu Tu Autonomous County),,,
XNT,ZBXT,Xingtai Dalian Airport,China,Xingtai,,,
XNU,DFON,Nouna Airport,Burkina Faso,Nouna,,,
XPA,DFEP,Pama Airport,Burkina Faso,Pama,,,
XPK,CZFG,Pukatawagan Airport,Canada,Pukatawagan,,,
XPL,MHSC,Palmerola International Airport,Honduras,Palmerola,,,
XPP,CZNG,Poplar River Airport,Canada,Poplar River,,,
XPR,KIEN,Pine Ridge Airport,United States of America,Pine Ridge,,,
XQP,MRQP,Quepos Managua Airport,Costa Rica,Quepos,,,
XQU,,Qualicum Beach Airport,Canada,Qualicum Beach,,,
XRH,YSRI,RAAF Base Richmond,Australia,Richmond,,,
XRQ,,New Barag Right Banner Baogede Airport,China,New Barag Right Banner,,,
XRR,CYDM,Ross River Airport,Canada,Ross River,,,
XRY,LEJR,Jerez Airport,Spain,Jerez de la Frontera,,,
XSB,OMBY,Sir Bani Yas Airport,United Arab Emirates,Sir Bani Yas,,,
XSC,MBSC,South Caicos Airport,Turks and Caicos Islands,South Caicos,,,
XSD,KTNX,Tonopah Test Range Airport,United States of America,Tonopah,,,
XSE,DFES,Sebba Airport,Burkina Faso,Sebba,,,
XSI,CZSN,South Indian Lake Airport,Canada,South Indian Lake,,,
XSO,PRNO,Siocon Airport,Philippines,Siocon,,,
XSP,WSSL,Seletar Airport,Singapore,Seletar,,,
XTG,YTGM,Thargomindah Airport,Australia,Thargomindah,,,
XTL,CYBQ,Tadoule Lake Airport,Canada,Tadoule Lake,,,
XTO,YTAM,Taroom Airport,Australia,,,,
XTR,YTAA,Tara Airport,Australia,,,,
XUZ,ZSXZ,Xuzhou Guanyin International Airport,China,Xuzhou,,,
XVS,LFAV,Valenciennes-Denain Airfield,France,Prouvy,,,
XWA,KXWA,Williston Basin International Airport,United States of America,Williston,,,
XYA,AGGY,Yandina Airport,Solomon Islands,Yandina,,,
XYE,VYYE,Ye Airport,Myanmar,Ye,,,
XYI,ZJYX,Yongxing Dao (Woody Island) Airport,China,Sansha (Yongxing Dao / Woody Island),,,
XYR,AYED,Edwaki Airport,Papua New Guinea,Yellow River Mission,,,
XZA,DFEZ,Zabré Airport,Burkina Faso,Zabré,,,
YAA,,Anahim Lake Airport,Canada,Anahim Lake,,,
YAB,CYAB,Arctic Bay Airport,Canada,Arctic Bay,,,
YAC,CYAC,Cat Lake Airport,Canada,Cat Lake,,,
YAG,CYAG,Fort Frances Municipal Airport,Canada,Fort Frances,,,
YAH,CYAH,La Grande-4 Airport,Canada,La Grande-4,,,
YAI,SCCH,Gral. Bernardo O´Higgins Airport,Chile,Chillan,,,
YAK,PAYA,Yakutat Airport,United States of America,Yakutat,,,
YAL,CYAL,Alert Bay Airport,Canada,Alert Bay,,,
YAM,CYAM,Sault Ste Marie Airport,Canada,Sault Ste Marie,,,
YAN,FZIR,Yangambi Airport,Democratic Republic of the Congo,Yangambi,,,
YAO,FKKY,Yaoundé Ville Airport,Cameroon,Yaoundé,,,
YAP,PTYA,Yap International Airport,Federated States of Micronesia,Yap Island,,,
YAR,CYAD,La Grande-3 Airport,Canada,La Grande-3,,,
YAS,NFSW,Yasawa Island Airport,Fiji,Yasawa Island,,,
YAT,CYAT,Attawapiskat Airport,Canada,Attawapiskat,,,
YAU,,Donaldson Airport,Canada,Kattiniq,,,
YAX,,Wapekeka Airport,Canada,Angling Lake,,,
YAY,CYAY,St. Anthony Airport,Canada,St. Anthony,,,
YAZ,CYAZ,Tofino / Long Beach Airport,Canada,Tofino,,,
YBA,CYBA,Banff Airport,Canada,Banff,,,
YBB,CYBB,Kugaaruk Airport,Canada,Kugaaruk,,,
YBC,CYBC,Baie-Comeau Airport,Canada,Baie-Comeau,,,
YBE,CYBE,Uranium City Airport,Canada,Uranium City,,,
YBG,CYBG,Saguenay-Bagotville Airport,Canada,Saguenay,,,
YBI,,Black Tickle Airport,Canada,Black Tickle,,,
YBK,CYBK,Baker Lake Airport,Canada,Baker Lake,,,
YBL,CYBL,Campbell River Airport,Canada,Campbell River,,,
YBO,,Bob Quinn Lake Airport,Canada,Bob Quinn Lake,,,
YBP,ZUYB,Yibin Wuliangye Airport,China,Yibin (Cuiping),,,
YBR,CYBR,Brandon Municipal Airport,Canada,Brandon,,,
YBS,,Opapimiskan Lake Airport,Canada,Opapimiskan Lake,,,
YBT,CYBT,Brochet Airport,Canada,Brochet,,,
YBV,CYBV,Berens River Airport,Canada,Berens River,,,
YBX,CYBX,Lourdes-de-Blanc-Sablon Airport,Canada,Blanc-Sablon,,,
YBY,CYBF,Bonnyville Airport,Canada,Bonnyville,,,
YCA,,Courtenay Airpark,Canada,Courtenay,,,
YCB,CYCB,Cambridge Bay Airport,Canada,Cambridge Bay,,,
YCC,CYCC,Cornwall Regional Airport,Canada,Cornwall,,,
YCD,CYCD,Nanaimo Airport,Canada,Nanaimo,,,
YCE,CYCE,Centralia / James T. Field Memorial Aerodrome,Canada,Huron Park,,,
YCG,CYCG,Castlegar/West Kootenay Regional Airport,Canada,Castlegar,,,
YCH,CYCH,Miramichi Airport,Canada,Miramichi,,,
YCK,CYVL,Tommy Kochon Airport,Canada,Colville Lake,,,
YCL,CYCL,Charlo Airport,Canada,Charlo,,,
YCM,CYSN,Niagara District Airport,Canada,Niagara-on-the-Lake,,,
YCN,CYCN,Cochrane Airport,Canada,Cochrane,,,
YCO,CYCO,Kugluktuk Airport,Canada,Kugluktuk,,,
YCQ,CYCQ,Chetwynd Airport,Canada,Chetwynd,,,
YCR,CYCR,Cross Lake (Charlie Sinclair Memorial) Airport,Canada,Cross Lake,,,
YCS,CYCS,Chesterfield Inlet Airport,Canada,Chesterfield Inlet,,,
YCT,CYCT,Coronation Airport,Canada,Coronation,,,
YCU,ZBYC,Yuncheng Yanhu International Airport,China,Yuncheng (Yanhu),,,
YCW,CYCW,Chilliwack Airport,Canada,Chilliwack,,,
YCY,CYCY,Clyde River Airport,Canada,Clyde River,,,
YCZ,CYCZ,Fairmont Hot Springs Airport,Canada,Fairmont Hot Springs,,,
YDA,CYDA,Dawson City Airport,Canada,Dawson City,,,
